replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
0,apache-complete,hosp-433,0.1,97,bbse:failsafe,True,0.85,0.6186,60,0.0667,False,,f,South,1.0,1.0
0,apache-complete,hosp-438,0.05,148,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,South,1.0,1.0
0,apache-complete,hosp-438,0.1,148,bbse:bbse-misspecified,True,0.85,0.8581,127,0.0236,False,,f,South,1.0,1.0
0,apache-complete,hosp-445,0.05,281,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
0,apache-complete,hosp-445,0.1,281,bbse:bbse-misspecified,True,0.85,0.8399,236,0.0424,False,100 - 249,f,Midwest,1.0,1.0
0,apache-complete,hosp-452,0.05,709,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,1.0,1.0
0,apache-complete,hosp-452,0.1,709,bbse:failsafe,True,0.85,0.6347,450,0.06,False,,f,Midwest,1.0,1.0
1,apache-complete,hosp-59,0.05,409,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
1,apache-complete,hosp-59,0.1,409,bbse:bbse-misspecified,True,0.87,0.9071,371,0.0108,False,<100,f,Midwest,1.0,1.0
1,apache-complete,hosp-63,0.05,891,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-63,0.1,891,bbse:failsafe,True,0.87,0.8754,780,0.0231,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-86,0.05,10,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,Midwest,1.0,1.0
1,apache-complete,hosp-86,0.1,10,bbse:bbse-misspecified,True,0.87,0.6,6,0.0,False,,f,Midwest,1.0,1.0
1,apache-complete,hosp-92,0.05,508,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,f,Midwest,1.0,1.0
1,apache-complete,hosp-92,0.1,508,bbse:bbse-misspecified,True,0.87,0.8917,453,0.0287,False,250 - 499,f,Midwest,1.0,1.0
1,apache-complete,hosp-120,0.05,91,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-120,0.1,91,bbse:bbse-misspecified,True,0.87,0.9231,84,0.0595,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-123,0.05,110,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-123,0.1,110,bbse:bbse-misspecified,True,0.87,0.8091,89,0.0562,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-148,0.05,1237,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,1.0,1.0
1,apache-complete,hosp-148,0.1,1237,bbse:failsafe,True,0.87,0.7316,905,0.0221,False,250 - 499,f,West,1.0,1.0
1,apache-complete,hosp-181,0.05,793,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,South,1.0,1.0
1,apache-complete,hosp-181,0.1,793,bbse:failsafe,True,0.87,0.768,609,0.0394,False,,f,South,1.0,1.0
1,apache-complete,hosp-182,0.05,263,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-182,0.1,263,bbse:bbse-misspecified,True,0.87,0.8099,213,0.0235,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-210,0.05,476,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-210,0.1,476,bbse:failsafe,True,0.87,0.8214,391,0.0332,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-227,0.05,1108,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,1.0,1.0
1,apache-complete,hosp-227,0.1,1108,bbse:failsafe,True,0.87,0.87,964,0.0436,False,250 - 499,f,West,1.0,1.0
1,apache-complete,hosp-244,0.05,1052,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-244,0.1,1052,bbse:bbse-misspecified,True,0.87,0.8802,926,0.0356,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-248,0.05,1496,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-248,0.1,1496,bbse:failsafe,True,0.87,0.8416,1259,0.0334,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-262,0.05,154,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
1,apache-complete,hosp-262,0.1,154,bbse:bbse-misspecified,True,0.87,0.8636,133,0.0451,False,<100,f,Midwest,1.0,1.0
1,apache-complete,hosp-265,0.05,6,pool-too-small,False,,,0,,False,,f,Midwest,1.0,1.0
1,apache-complete,hosp-265,0.1,6,pool-too-small,False,,,0,,False,,f,Midwest,1.0,1.0
1,apache-complete,hosp-303,0.05,130,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
1,apache-complete,hosp-303,0.1,130,bbse:bbse-misspecified,True,0.87,0.7462,97,0.0,False,,f,,1.0,1.0
