n_sites,draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,decline_reason
60,44,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,44,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,45,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,45,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,46,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,46,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,47,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,47,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,48,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,48,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,49,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,49,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,50,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,50,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,51,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,51,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,52,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,52,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,53,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,53,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,54,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,54,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,55,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,55,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,56,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,56,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,57,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,57,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,58,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,58,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,59,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,59,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,60,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,60,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,61,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,61,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,62,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,62,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,63,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,63,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,64,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,64,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,65,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,65,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,66,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,66,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,67,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,67,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,68,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,68,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,69,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,69,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,70,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,70,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,71,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,71,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,72,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,72,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,73,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,73,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,74,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,74,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,75,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,75,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,76,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,76,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,77,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,77,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,78,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,78,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,79,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,79,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,80,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,80,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,81,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,81,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,82,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,82,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,83,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,83,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,84,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,84,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,85,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,85,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,86,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,86,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,87,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,87,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,88,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,88,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,89,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,89,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,90,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,90,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,91,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,91,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,92,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,92,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,93,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,93,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,94,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,94,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,95,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,95,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,96,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,96,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,97,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,97,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,98,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,98,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,99,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,99,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,100,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,100,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,101,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,101,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,102,0.05,False,,0.0,0,nan,False,insufficient-clusters
