draw,alpha,mode,target_base,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,decline_reason,deploy_mode,bbse_reason,bbse_rho_lo,bbse_rho_hi,bbse_gap_lo,bbse_q_target
9,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
9,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006001121690703753,34.75421699761458,0.4761482082464624,0.12903225806451613
9,0.1,baseline,0.22,True,0.55,0.967741935483871,30,0.2,True,True,0.113334,True,,baseline,,,,,
9,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006001121690703753,34.75421699761458,0.4761482082464624,0.12903225806451613
10,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
10,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6618867581436638,60.27580169287978,0.49644824730116627,0.21428571428571427
10,0.1,baseline,0.22,True,0.55,0.9523809523809523,40,0.2,True,True,0.106142,True,,baseline,,,,,
10,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6618867581436638,60.27580169287978,0.49644824730116627,0.21428571428571427
11,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
11,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0259832558666946,4.464802691594779,0.4930054056556426,0.1364256480218281
11,0.1,baseline,0.22,True,0.5700000000000001,0.9631650750341064,706,0.10623229461756374,False,True,0.107722,True,,baseline,,,,,
11,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0259832558666946,4.464802691594779,0.4930054056556426,0.1364256480218281
12,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
12,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5301320755031795,4.008916969930782,0.4826379032432949,0.1313545942532365
12,0.1,baseline,0.22,True,0.55,0.9769497947584465,3094,0.0982546864899806,False,False,0.114369,True,,baseline,,,,,
12,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5301320755031795,4.008916969930782,0.4826379032432949,0.1313545942532365
13,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
13,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.708362502502058,10.603810693894744,0.5156973506017019,0.20799347471451876
13,0.1,baseline,0.22,True,0.55,0.968189233278956,1187,0.15838247683235046,True,True,0.105314,True,,baseline,,,,,
13,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.708362502502058,10.603810693894744,0.5156973506017019,0.20799347471451876
14,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
14,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.07987120597126549,13.409011804456973,0.49745740785314535,0.12
14,0.1,baseline,0.22,True,0.55,0.94,47,0.14893617021276595,False,True,0.104386,True,,baseline,,,,,
14,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.07987120597126549,13.409011804456973,0.49745740785314535,0.12
15,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
15,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.8868283390235026,15.871940458631247,0.5131154791216344,0.2517985611510791
15,0.1,baseline,0.22,True,0.55,0.9676258992805755,269,0.22304832713754646,True,True,0.114245,True,,baseline,,,,,
15,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.8868283390235026,15.871940458631247,0.5131154791216344,0.2517985611510791
16,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
16,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.311987960291659,24.78604292841666,0.5038414706015372,0.26282051282051283
16,0.1,baseline,0.22,True,0.55,0.9743589743589743,152,0.21052631578947367,True,True,0.110088,True,,baseline,,,,,
16,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.311987960291659,24.78604292841666,0.5038414706015372,0.26282051282051283
17,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
17,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0955804555134823,7.182133078659131,0.471068998125876,0.13917525773195877
17,0.1,baseline,0.22,True,0.55,0.9819587628865979,381,0.09448818897637795,False,False,0.117806,True,,baseline,,,,,
17,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0955804555134823,7.182133078659131,0.471068998125876,0.13917525773195877
18,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
