replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
0,primary,hosp-405,0.05,345,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.994203,0.994203
0,primary,hosp-405,0.1,345,bbse:failsafe,True,0.85,0.8841,305,0.023,False,100 - 249,f,West,0.994203,0.994203
0,primary,hosp-433,0.05,140,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,South,0.985714,0.985714
0,primary,hosp-433,0.1,140,bbse:failsafe,True,0.85,0.6214,87,0.046,False,,f,South,0.985714,0.985714
0,primary,hosp-434,0.05,376,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,0.986702,0.986702
0,primary,hosp-434,0.1,376,bbse:bbse-misspecified,True,0.85,0.7447,280,0.05,False,<100,f,South,0.986702,0.986702
0,primary,hosp-438,0.05,183,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,South,0.978142,0.978142
0,primary,hosp-438,0.1,183,bbse:bbse-misspecified,True,0.85,0.8197,150,0.02,False,,f,South,0.978142,0.978142
1,primary,hosp-59,0.05,562,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,0.951957,0.951957
1,primary,hosp-59,0.1,562,bbse:bbse-misspecified,True,0.79,0.9235,519,0.0116,False,<100,f,Midwest,0.951957,0.951957
1,primary,hosp-68,0.05,478,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,Midwest,0.981172,0.981172
1,primary,hosp-68,0.1,478,bbse:failsafe,True,0.79,0.8556,409,0.0073,False,<100,f,Midwest,0.981172,0.981172
1,primary,hosp-93,0.05,55,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,1.0,1.0
1,primary,hosp-93,0.1,55,bbse:failsafe,True,0.79,0.8545,47,0.0426,False,,f,Midwest,1.0,1.0
1,primary,hosp-176,0.05,2418,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,,0.993797,0.993797
1,primary,hosp-176,0.1,2418,bbse:failsafe,True,0.79,0.9086,2197,0.0278,False,,f,,0.993797,0.993797
1,primary,hosp-179,0.05,67,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,f,West,0.074627,0.074627
1,primary,hosp-179,0.1,67,bbse:bbse-misspecified,True,0.79,0.9851,66,0.0606,False,250 - 499,f,West,0.074627,0.074627
1,primary,hosp-199,0.05,2722,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Northeast,0.803453,0.803453
1,primary,hosp-199,0.1,2722,bbse:failsafe,True,0.79,0.8894,2421,0.0706,False,>= 500,t,Northeast,0.803453,0.803453
