s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,22,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,22,208,0.1,True,0.55,0.9719525350593312,1802,0.09933407325194228,False,False,0.056743,False,0.06,baseline,
0.5,23,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,23,208,0.1,True,0.55,0.9945255474452555,545,0.060550458715596334,False,False,0.058296,False,0.04,baseline,
0.5,24,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,24,208,0.1,True,0.55,0.99,198,0.09090909090909091,False,False,0.060839,False,0.085,baseline,
0.5,25,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,25,208,0.1,True,0.55,0.9761904761904762,246,0.08943089430894309,False,False,0.055793,False,0.035,baseline,
0.5,26,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,26,208,0.1,True,0.55,0.9849246231155779,392,0.03571428571428571,False,False,0.057047,False,0.07,baseline,
0.5,27,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,27,208,0.1,True,0.5700000000000001,0.9875389408099688,317,0.0694006309148265,False,False,0.056427,False,0.075,baseline,
0.5,28,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,28,208,0.1,True,0.55,0.9866666666666667,148,0.060810810810810814,False,False,0.056945,False,0.055,baseline,
0.5,29,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,29,208,0.1,True,0.55,0.995049504950495,201,0.09950248756218906,False,False,0.058937,False,0.07,baseline,
0.5,30,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,30,208,0.1,True,0.55,0.9878934624697336,816,0.06740196078431372,False,False,0.06118,False,0.065,baseline,
0.5,31,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
